#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_012207951.1	403833.Pmob_0095	6.86e-154	432.0	COG0745@1|root,COG0745@2|Bacteria,2GCXG@200918|Thermotogae	200918|Thermotogae	K	PFAM response regulator receiver	-	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
WP_012207955.1	403833.Pmob_0099	2.39e-60	186.0	COG2052@1|root,COG2052@2|Bacteria,2GD5V@200918|Thermotogae	200918|Thermotogae	S	Belongs to the UPF0296 family	-	-	-	ko:K09777	-	-	-	-	ko00000	-	-	-	DUF370
WP_012208170.1	403833.Pmob_0321	1.11e-45	147.0	COG1837@1|root,COG1837@2|Bacteria,2GDEJ@200918|Thermotogae	200918|Thermotogae	S	Belongs to the UPF0109 family	-	-	-	ko:K06960	-	-	-	-	ko00000	-	-	-	KH_4
WP_012208210.1	403833.Pmob_0361	5.69e-44	142.0	COG0690@1|root,COG0690@2|Bacteria	2|Bacteria	U	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	secE	GO:0002790,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006616,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0022857,GO:0022884,GO:0031224,GO:0031226,GO:0031522,GO:0032940,GO:0032978,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0042887,GO:0043952,GO:0044425,GO:0044459,GO:0044464,GO:0045047,GO:0045184,GO:0046903,GO:0046907,GO:0051179,GO:0051205,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070727,GO:0070972,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:1904680	-	ko:K03073	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	-	SecE
WP_012208262.1	403833.Pmob_0414	2.47e-101	293.0	COG2258@1|root,COG2258@2|Bacteria,2GD3M@200918|Thermotogae	200918|Thermotogae	S	PFAM MOSC domain containing protein	-	-	-	-	-	-	-	-	-	-	-	-	MOSC
WP_012208365.1	403833.Pmob_0527	1.39e-297	812.0	COG3547@1|root,COG3547@2|Bacteria,2GCVK@200918|Thermotogae	200918|Thermotogae	L	PFAM transposase IS116 IS110 IS902 family	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
WP_012208495.1	403833.Pmob_0661	9.91e-36	122.0	COG1598@1|root,COG1598@2|Bacteria,2GDGG@200918|Thermotogae	200918|Thermotogae	S	PFAM Uncharacterised protein family UPF0150	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_012208496.1	403833.Pmob_0662	5.24e-192	533.0	COG1131@1|root,COG1131@2|Bacteria,2GC10@200918|Thermotogae	200918|Thermotogae	V	PFAM ABC transporter	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_012208500.1	403833.Pmob_0666	3.48e-179	500.0	COG0842@1|root,COG0842@2|Bacteria,2GBXF@200918|Thermotogae	200918|Thermotogae	V	PFAM ABC-2 type transporter	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane
WP_012208502.1	403833.Pmob_0668	0.0	907.0	COG0641@1|root,COG0641@2|Bacteria,2GCQT@200918|Thermotogae	200918|Thermotogae	C	PFAM Radical SAM	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM
WP_012208503.1	403833.Pmob_0669	0.0	931.0	COG0641@1|root,COG0641@2|Bacteria,2GC9Z@200918|Thermotogae	200918|Thermotogae	C	PFAM Radical SAM	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM
WP_012208504.1	403833.Pmob_0671	3.01e-225	620.0	COG1131@1|root,COG1131@2|Bacteria	2|Bacteria	V	ATPase activity	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_012208508.1	403833.Pmob_0676	5.73e-208	575.0	COG1131@1|root,COG1131@2|Bacteria,2GCMT@200918|Thermotogae	200918|Thermotogae	P	PFAM ABC transporter	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_012208510.1	403833.Pmob_0678	0.0	949.0	COG0641@1|root,COG0641@2|Bacteria	2|Bacteria	C	radical SAM	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM
WP_012208584.1	403833.Pmob_0757	1.45e-282	771.0	COG0675@1|root,COG0675@2|Bacteria,2GCZ8@200918|Thermotogae	200918|Thermotogae	L	transposase, IS891 IS1136 IS1341 family	-	-	-	ko:K07496	-	-	-	-	ko00000	-	-	-	HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon
