#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_014293684.1	443254.Marpi_2120	8.99e-109	313.0	2977F@1|root,2ZUFA@2|Bacteria,2GEBX@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_014293686.1	443254.Marpi_2122	5.22e-175	488.0	COG4974@1|root,COG4974@2|Bacteria,2GEHF@200918|Thermotogae	200918|Thermotogae	L	Belongs to the 'phage' integrase family	-	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_integrase
WP_014293690.1	443254.Marpi_2127	0.0	1421.0	COG0305@1|root,COG0358@1|root,COG0305@2|Bacteria,COG0358@2|Bacteria	2|Bacteria	L	DNA primase activity	-	-	3.6.4.12	ko:K02314,ko:K02316,ko:K17680	ko03030,ko04112,map03030,map04112	-	-	-	ko00000,ko00001,ko01000,ko03029,ko03032	-	-	-	DnaB_C,Toprim_2,Toprim_N,zf-CHC2
WP_014293694.1	443254.Marpi_2131	1.46e-134	382.0	COG2337@1|root,COG2337@2|Bacteria,2GD9I@200918|Thermotogae	200918|Thermotogae	T	PemK-like, MazF-like toxin of type II toxin-antitoxin system	-	-	-	ko:K07171	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	PemK_toxin
WP_014293696.1	443254.Marpi_2133	3E-121	347.0	2EBYR@1|root,335Y1@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_014295533.1	443254.Marpi_0001	0.0	879.0	COG0593@1|root,COG0593@2|Bacteria,2GBXC@200918|Thermotogae	200918|Thermotogae	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
WP_014295534.1	443254.Marpi_0002	1.94e-120	343.0	COG0225@1|root,COG0225@2|Bacteria,2GCAC@200918|Thermotogae	200918|Thermotogae	O	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine	msrA	-	1.8.4.11,1.8.4.12	ko:K07304,ko:K12267	-	-	-	-	ko00000,ko01000	-	-	-	PMSR,SelR
WP_014295535.1	443254.Marpi_0003	8.74e-180	499.0	COG0778@1|root,COG0778@2|Bacteria,2GCST@200918|Thermotogae	200918|Thermotogae	C	PFAM Nitroreductase	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
WP_014295538.1	443254.Marpi_0006	1.39e-106	307.0	COG0245@1|root,COG0245@2|Bacteria,2GDC5@200918|Thermotogae	200918|Thermotogae	F	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)	ispF	-	4.6.1.12	ko:K01770	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05637	RC00002,RC01440	ko00000,ko00001,ko00002,ko01000	-	-	-	YgbB
WP_014295539.1	443254.Marpi_0007	4.29e-293	801.0	COG0592@1|root,COG0592@2|Bacteria,2GC0Z@200918|Thermotogae	200918|Thermotogae	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	-	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
